logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
,1,"A small child in a red jacket is sitting on a man's shoulders and holding his head. Therefore, the child's hands are on the man's head."," ""A small child in a red jacket is sitting on a man's shoulders and holding his head.""  "," ""The child's hands are on the man's head.""","IsSmall(b),  IsInRedJacket(b),  IsSittingOnShoulders(b,d),  IsHoldingHead(b,a)","IsOnHead(e,a)","[('  IsSittingOnShoulders(b,d)', 'IsOnHead(e,a)'), ('  IsHoldingHead(b,a)', 'IsOnHead(e,a)')]","[(' his head', "" the man's head"")]",[],"IsSmall(b) and IsInRedJacket(b) and IsSittingOnShoulders(b,d) and IsHoldingHead(b,a)","IsOnHead(e,a)","(IsSmall(b) and IsInRedJacket(b) and IsSittingOnShoulders(b,d) and IsHoldingHead(b,a) & (forall e (forall d (forall b (forall a (  IsSittingOnShoulders(b,d) -> IsOnHead(e,a)))))) & (forall e (forall b (forall a (  IsHoldingHead(b,a) -> IsOnHead(e,a)))))) -> (IsOnHead(e,a))","(exists d (exists b (exists a (IsSmall(b) and IsInRedJacket(b) and IsSittingOnShoulders(b,d) and IsHoldingHead(b,a)))) & (forall h (forall j (forall i (forall g (  IsSittingOnShoulders(g,h) -> IsOnHead(i,j)))))) & (forall m (forall l (forall k (  IsHoldingHead(k,l) -> IsOnHead(m,l)))))) -> (exists e (exists a (IsOnHead(e,a))))"
,1,Three girls are standing and talking to each other. It follows that three girls are talking.," ""Three girls are standing and talking to each other.""  "," ""Three girls are talking.""","IsStanding(a),  IsTalkingToEachOther(a)",IsTalking(a),"[('  IsTalkingToEachOther(a)', 'IsTalking(a)'), ('IsTalking(a)', '  IsTalkingToEachOther(a)')]","[(' Three girls', ' Three girls')]",[],IsStanding(a) and IsTalkingToEachOther(a),IsTalking(a),(IsStanding(a) and IsTalkingToEachOther(a) & (forall a (  IsTalkingToEachOther(a) -> IsTalking(a))) & (forall a (IsTalking(a) ->   IsTalkingToEachOther(a)))) -> (IsTalking(a)),(exists a (IsStanding(a) and IsTalkingToEachOther(a)) & (forall b (  IsTalkingToEachOther(b) -> IsTalking(b))) & (forall c (IsTalking(c) ->   IsTalkingToEachOther(c)))) -> (exists a (IsTalking(a)))
,1,"a man with a cap and not wearing shirt is laying a wooden bench. Consequently, a man relaxes on a bench."," ""A man with a cap and not wearing a shirt is laying on a wooden bench.""  "," ""A man relaxes on a bench.""","IsWearingCap(a),  IsNotWearingShirt(a),  IsLayingOn(b, a)","IsRelaxing(c),  IsOn(c, d)",[],[],"[(' A man with a cap', ' A man'), (' a wooden bench', ' a bench')]","IsWearingCap(a) and IsNotWearingShirt(a) and IsLayingOn(b, a)","IsRelaxing(c) and IsOn(c, d)","(exists b (exists a (IsWearingCap(a) and IsNotWearingShirt(a) and IsLayingOn(b, a)))) -> (forall d (forall c (IsRelaxing(c) and IsOn(c, d))))","(exists b (exists a (IsWearingCap(a) and IsNotWearingShirt(a) and IsLayingOn(b, a)))) -> (exists c (exists d (IsRelaxing(c) and IsOn(c, d))))"
,1,"A man in a red shirt is being filmed by another man on a sports field with a huge audience of people watching and cheering. Therefore, the man is being filmed by another man."," ""A man in a red shirt is being filmed by another man.""  "," ""The man in a red shirt is being filmed by another man on a sports field with a huge audience.""","IsInRedShirt(a),  IsBeingFilmed(a, b)","IsInRedShirt(a),  IsBeingFilmed(a, b),  IsOnSportsField(a, c),  HasHugeAudience(c, d)",[],"[(' A man in a red shirt', ' The man in a red shirt'), (' another man', ' another man')]",[],"IsInRedShirt(a) and IsBeingFilmed(a, b)","IsInRedShirt(a) and IsBeingFilmed(a, b) and IsOnSportsField(a, c) and HasHugeAudience(c, d)","(IsInRedShirt(a) and IsBeingFilmed(a, b)) -> (IsInRedShirt(a) and IsBeingFilmed(a, b) and IsOnSportsField(a, c) and HasHugeAudience(c, d))","(exists b (exists a (IsInRedShirt(a) and IsBeingFilmed(a, b)))) -> (exists c (exists d (exists b (exists a (IsInRedShirt(a) and IsBeingFilmed(a, b) and IsOnSportsField(a, c) and HasHugeAudience(c, d))))))"
,1,"A man in a suit cheering in a library in front of children. Thus, a guy is cheering near some children."," ""A man in a suit is cheering in a library in front of children.""  "," ""A man is cheering near some children.""","IsInSuit(a),  IsCheering(a),  IsInLibrary(a),  IsInFrontOf(a, c)","IsCheering(d),  IsNear(d, e)",[],[],"[(' A man in a suit', ' A man'), (' children', ' some children')]","IsInSuit(a) and IsCheering(a) and IsInLibrary(a) and IsInFrontOf(a, c)","IsCheering(d) and IsNear(d, e)","(exists c (exists a (IsInSuit(a) and IsCheering(a) and IsInLibrary(a) and IsInFrontOf(a, c)))) -> (forall e (forall d (IsCheering(d) and IsNear(d, e))))","(exists c (exists a (IsInSuit(a) and IsCheering(a) and IsInLibrary(a) and IsInFrontOf(a, c)))) -> (exists e (exists d (IsCheering(d) and IsNear(d, e))))"
,1,A man in suit waiting for the green light. This implies that a man waits at a red light.," ""A man in a suit is waiting for the green light.""  "," ""A man waits at a red light.""","IsInSuit(a),  IsWaiting(a),  IsGreenLight(b)","IsWaiting(c),  IsRedLight(d)",[],[],"[(' A man in a suit', ' A man')]",IsInSuit(a) and IsWaiting(a) and IsGreenLight(b),IsWaiting(c) and IsRedLight(d),(exists a (IsInSuit(a) and IsWaiting(a) and IsGreenLight(b))) -> (forall c (IsWaiting(c) and IsRedLight(d))),(exists b (exists a (IsInSuit(a) and IsWaiting(a) and IsGreenLight(b)))) -> (exists c (exists d (IsWaiting(c) and IsRedLight(d))))
,1,"A man smokes while leaning against a pillar, which has a ""missing person"" flier posted on it. Thus, a guy smoking against a wall with a flier on it."," ""A man smokes while leaning against a pillar with a 'missing person' flier posted on it.""  "," ""A guy smoking against a wall with a flier on it.""","IsSmoky(a),  IsLeaningAgainst(a,b),  HasFlier(c,b)","IsSmoking(a),  IsLeaningAgainst(a,d),  HasFlier(e,d)",[],"[(' A man', ' A guy')]","[("" a 'missing person' flier"", ' a flier')]","IsSmoky(a) and IsLeaningAgainst(a,b) and HasFlier(c,b)","IsSmoking(a) and IsLeaningAgainst(a,d) and HasFlier(e,d)","(exists c (IsSmoky(a) and IsLeaningAgainst(a,b) and HasFlier(c,b))) -> (forall e (IsSmoking(a) and IsLeaningAgainst(a,d) and HasFlier(e,d)))","(exists c (exists b (exists a (IsSmoky(a) and IsLeaningAgainst(a,b) and HasFlier(c,b))))) -> (exists e (exists d (exists a (IsSmoking(a) and IsLeaningAgainst(a,d) and HasFlier(e,d)))))"
,1,"A woman is standing at a podium. Thus, a person is at a podium."," ""A woman is standing at a podium.""  "," ""A person is at a podium.""","IsStanding(b),  IsAtPodium(b, a)","IsAtPodium(c, a)","[('IsStanding(b)', 'IsAtPodium(c, a)')]","[(' a podium', ' a podium')]","[(' A woman', ' A person')]","IsStanding(b) and IsAtPodium(b, a)","IsAtPodium(c, a)","(exists b (IsStanding(b) and IsAtPodium(b, a)) & (forall c (forall b (forall a (IsStanding(b) -> IsAtPodium(c, a)))))) -> (forall c (IsAtPodium(c, a)))","(exists b (exists a (IsStanding(b) and IsAtPodium(b, a))) & (forall e (forall d (forall f (IsStanding(d) -> IsAtPodium(e,f)))))) -> (exists c (exists a (IsAtPodium(c, a))))"
,1,Four boys are about to be hit by an approaching wave. It follows that a wave is about hit some boys.," ""A wave is about to hit four boys.""  "," ""A wave is about to hit some boys.""","IsAboutToHit(a,b)","IsAboutToHit(a,c)",[],"[(' A wave', ' A wave')]","[(' four boys', ' some boys')]","IsAboutToHit(a,b)","IsAboutToHit(a,c)","(exists b (IsAboutToHit(a,b))) -> (forall c (IsAboutToHit(a,c)))","(exists b (exists a (IsAboutToHit(a,b)))) -> (exists c (exists a (IsAboutToHit(a,c))))"
,1,"people are sitting on a bench in front of buildings. Thus, some people are seated on a bench outside."," ""People are sitting on a bench in front of buildings.""  "," ""Some people are seated on a bench outside.""","IsSittingOn(b, a),  IsInFrontOf(a, c)","IsSeated(d, a)","[('IsSittingOn(b, a)', 'IsSeated(d, a)')]","[(' a bench', ' a bench')]","[(' People', ' Some people')]","IsSittingOn(b, a) and IsInFrontOf(a, c)","IsSeated(d, a)","(exists b (IsSittingOn(b, a) and IsInFrontOf(a, c)) & (forall d (forall b (forall a (IsSittingOn(b, a) -> IsSeated(d, a)))))) -> (forall d (IsSeated(d, a)))","(exists c (exists b (exists a (IsSittingOn(b, a) and IsInFrontOf(a, c)))) & (forall e (forall f (forall g (IsSittingOn(e,f) -> IsSeated(g,f)))))) -> (exists d (exists a (IsSeated(d, a))))"
,1,The skateboarder is jumping his board in the air while another skateboarder watches. This implies that a skateboarder is jumping.," ""The skateboarder is jumping his board in the air.""  "," ""A skateboarder is jumping.""","IsSkateboarding(a),  IsJumping(b),  IsInTheAir(b)","IsSkateboarding(a),  IsJumping(a)","[('  IsInTheAir(b)', '  IsJumping(a)')]","[(' The skateboarder', ' A skateboarder')]",[],IsSkateboarding(a) and IsJumping(b) and IsInTheAir(b),IsSkateboarding(a) and IsJumping(a),(IsSkateboarding(a) and IsJumping(b) and IsInTheAir(b) & (forall b (forall a (  IsInTheAir(b) ->   IsJumping(a))))) -> (IsSkateboarding(a) and IsJumping(a)),(exists b (exists a (IsSkateboarding(a) and IsJumping(b) and IsInTheAir(b))) & (forall e (forall f (  IsInTheAir(e) ->   IsJumping(f))))) -> (exists a (IsSkateboarding(a) and IsJumping(a)))
,1,"A man wearing a black hat and coat makes a face with a crowd behind him. As a consequence, a guy is standing near a crowd of people."," ""A man wearing a black hat and coat makes a face.""  "," ""A guy is standing near a crowd of people.""","IsWearingBlackHat(a),  IsWearingCoat(a),  MakesFace(a)","IsStandingNear(a,d)",[],"[(' A man', ' A guy')]",[],IsWearingBlackHat(a) and IsWearingCoat(a) and MakesFace(a),"IsStandingNear(a, d)","(IsWearingBlackHat(a) and IsWearingCoat(a) and MakesFace(a)) -> (IsStandingNear(a, d))","(exists a (IsWearingBlackHat(a) and IsWearingCoat(a) and MakesFace(a))) -> (exists d (exists a (IsStandingNear(a, d))))"
,1,"A group of soldiers march in a parade. Thus, a group of people march in a parade."," ""A group of soldiers march in a parade.""  "," ""A group of people march in a parade.""","IsMarching(b, a)","IsMarching(c, a)",[],"[(' a parade', ' a parade')]","[(' A group of soldiers', ' A group of people')]","IsMarching(b, a)","IsMarching(c, a)","(exists b (IsMarching(b, a))) -> (forall c (IsMarching(c, a)))","(exists b (exists a (IsMarching(b, a)))) -> (exists c (exists a (IsMarching(c, a))))"
,1,The 3 dogs are cruising down the street. This implies that three dogs together.," ""Three dogs are cruising down the street.""  "," ""Three dogs are together.""","IsCruising(a, b)",IsTogether(a),[],"[(' Three dogs', ' Three dogs')]",[],"IsCruising(a, b)",IsTogether(a),"(IsCruising(a, b)) -> (IsTogether(a))","(exists b (exists a (IsCruising(a, b)))) -> (exists a (IsTogether(a)))"
,1,"The gentleman is speaking while the others are listening. As a consequence, the man is being given respect."," ""The gentleman is speaking while the others are listening.""  "," ""The gentleman is being given respect.""","IsSpeaking(a),  IsListening(b)","IsGiven(a, c)",[],"[(' The gentleman', ' The gentleman')]",[],IsSpeaking(a) and IsListening(b),"IsGiven(a, c)","(IsSpeaking(a) and IsListening(b)) -> (IsGiven(a, c))","(exists b (exists a (IsSpeaking(a) and IsListening(b)))) -> (exists c (exists a (IsGiven(a, c))))"
,1,"One child in black is walking down a hill covered in white snow while 2 children are on their knees. Thus, there are three children in this picture, and they are all outside."," ""One child in black is walking down a hill covered in white snow while two children are on their knees.""  "," ""Three children are all outside.""","IsInBlack(a),  IsWalking(a),  IsOnHill(a,b),  IsCoveredInWhite(c),  IsOnKnees(d)",IsOutside(e),"[('  IsWalking(a)', 'IsOutside(e)')]",[],[],"IsInBlack(a) and IsWalking(a) and IsOnHill(a,b) and IsCoveredInWhite(c) and IsOnKnees(d)",IsOutside(e),"(IsInBlack(a) and IsWalking(a) and IsOnHill(a,b) and IsCoveredInWhite(c) and IsOnKnees(d) & (forall e (forall a (  IsWalking(a) -> IsOutside(e))))) -> (IsOutside(e))","(exists c (exists d (exists b (exists a (IsInBlack(a) and IsWalking(a) and IsOnHill(a,b) and IsCoveredInWhite(c) and IsOnKnees(d))))) & (forall f (forall g (  IsWalking(f) -> IsOutside(g))))) -> (exists e (IsOutside(e)))"
,1,A group of people are sight seeing and taking pictures. It follows that there are a group of people.," ""A group of people are sight seeing and taking pictures.""  "," ""There are a group of people.""","IsSightSeeing(a),  IsTakingPictures(a)",IsAGroup(a),"[('IsSightSeeing(a)', 'IsAGroup(a)'), ('  IsTakingPictures(a)', 'IsAGroup(a)')]","[(' A group of people', ' a group of people')]",[],IsSightSeeing(a) and IsTakingPictures(a),IsAGroup(a),(IsSightSeeing(a) and IsTakingPictures(a) & (forall a (IsSightSeeing(a) -> IsAGroup(a))) & (forall a (  IsTakingPictures(a) -> IsAGroup(a)))) -> (IsAGroup(a)),(exists a (IsSightSeeing(a) and IsTakingPictures(a)) & (forall d (IsSightSeeing(d) -> IsAGroup(d))) & (forall e (  IsTakingPictures(e) -> IsAGroup(e)))) -> (exists a (IsAGroup(a)))
,1,"Army men grilling a lot of meat while his troop looks on. Hence, some of the people here have been in the armed forces."," ""Army men are grilling a lot of meat.""  "," ""Some people here have been in the armed forces.""","IsArmyMen(a),  IsGrilling(a,b)","IsSomePeople(c),  IsInArmedForces(c, d)",[],[],"[(' Army men', ' the armed forces')]","IsArmyMen(a) and IsGrilling(a,b)","IsSomePeople(c) and IsInArmedForces(c, d)","(exists a (IsArmyMen(a) and IsGrilling(a,b))) -> (forall d (IsSomePeople(c) and IsInArmedForces(c, d)))","(exists b (exists a (IsArmyMen(a) and IsGrilling(a,b)))) -> (exists c (exists d (IsSomePeople(c) and IsInArmedForces(c, d))))"
,1,"The basketball player in red is challenging the player in white for the ball. Consequently, people are playing basketball."," ""The basketball player in red is challenging the player in white for the ball.""  "," ""People are playing basketball.""","IsInRed(a),  IsChallenging(a, b),  HasBall(c)","IsPlaying(d, e)",[],[],"[(' The basketball player in red', ' basketball'), (' the ball', ' basketball')]","IsInRed(a) and IsChallenging(a, b) and HasBall(c)","IsPlaying(d, e)","(exists c (exists a (IsInRed(a) and IsChallenging(a, b) and HasBall(c)))) -> (forall e (IsPlaying(d, e)))","(exists c (exists b (exists a (IsInRed(a) and IsChallenging(a, b) and HasBall(c))))) -> (exists e (exists d (IsPlaying(d, e))))"
,1,"A older man with gray hair wearing a gray suit next to a green and yellow taxi. Thus, a older man with gray hair wearing a gray suit."," ""An older man with gray hair is wearing a gray suit next to a green and yellow taxi.""  "," ""An older man with gray hair is present.""","IsOlder(a),  HasGrayHair(a),  IsWearingGraySuit(a),  IsNextToTaxi(a,d),  IsGreenAndYellow(d)","IsOlder(a),  HasGrayHair(a),  IsPresent(a)","[('  HasGrayHair(a)', '  IsPresent(a)'), ('IsOlder(a)', '  IsWearingGraySuit(a)'), ('  IsWearingGraySuit(a)', '  IsPresent(a)')]","[(' An older man', ' An older man'), (' gray hair', ' gray hair')]",[],"IsOlder(a) and HasGrayHair(a) and IsWearingGraySuit(a) and IsNextToTaxi(a,d) and IsGreenAndYellow(d)",IsOlder(a) and HasGrayHair(a) and IsPresent(a),"(IsOlder(a) and HasGrayHair(a) and IsWearingGraySuit(a) and IsNextToTaxi(a,d) and IsGreenAndYellow(d) & (forall a (  HasGrayHair(a) ->   IsPresent(a))) & (forall a (IsOlder(a) ->   IsWearingGraySuit(a))) & (forall a (  IsWearingGraySuit(a) ->   IsPresent(a)))) -> (IsOlder(a) and HasGrayHair(a) and IsPresent(a))","(exists d (exists a (IsOlder(a) and HasGrayHair(a) and IsWearingGraySuit(a) and IsNextToTaxi(a,d) and IsGreenAndYellow(d))) & (forall e (  HasGrayHair(e) ->   IsPresent(e))) & (forall f (IsOlder(f) ->   IsWearingGraySuit(f))) & (forall g (  IsWearingGraySuit(g) ->   IsPresent(g)))) -> (exists a (IsOlder(a) and HasGrayHair(a) and IsPresent(a)))"
,1,"A man drops something, reaching for it while a woman in a beige blazer discusses an important topic. Hence, a woman is talking while a man is reaching for something."," ""A woman in a beige blazer discusses an important topic.""  "," ""A woman is talking while a man is reaching for something.""","IsInBeigeBlazer(a),  DiscussesTopic(a, b)","IsTalking(c),  IsReaching(d, e)","[('IsInBeigeBlazer(a)', 'IsTalking(c)'), ('  DiscussesTopic(a, b)', 'IsTalking(c)'), ('IsTalking(c)', '  DiscussesTopic(a, b)')]",[],"[(' A woman in a beige blazer', ' A woman')]","IsInBeigeBlazer(a) and DiscussesTopic(a, b)","IsTalking(c) and IsReaching(d, e)","(exists a (IsInBeigeBlazer(a) and DiscussesTopic(a, b)) & (forall c (forall a (IsInBeigeBlazer(a) -> IsTalking(c)))) & (forall c (forall b (forall a (  DiscussesTopic(a, b) -> IsTalking(c))))) & (forall c (forall b (forall a (IsTalking(c) ->   DiscussesTopic(a, b)))))) -> (forall c (IsTalking(c) and IsReaching(d, e)))","(exists b (exists a (IsInBeigeBlazer(a) and DiscussesTopic(a, b))) & (forall f (forall g (IsInBeigeBlazer(f) -> IsTalking(g)))) & (forall h (forall j (forall i (  DiscussesTopic(h,i) -> IsTalking(j))))) & (forall m (forall l (forall k (IsTalking(k) ->   DiscussesTopic(l,m)))))) -> (exists c (exists e (exists d (IsTalking(c) and IsReaching(d, e)))))"
,1,A crowd watching a skateboarder. This implies that a person is skateboarding.," ""A crowd is watching a skateboarder.""  "," ""A person is skateboarding.""","IsWatching(a,b)",IsSkateboarding(c),[],[],"[(' a skateboarder', ' A person')]","IsWatching(a,b)",IsSkateboarding(c),"(exists b (IsWatching(a,b))) -> (forall c (IsSkateboarding(c)))","(exists b (exists a (IsWatching(a,b)))) -> (exists c (IsSkateboarding(c)))"
,1,"A male guitar player is vigorously singing a not to a song in a poorly lit room. As a consequence, a man is singing indoors."," ""A male guitar player is vigorously singing a song in a poorly lit room.""  "," ""A man is singing indoors.""","IsMale(a),  IsGuitarPlayer(a),  IsSingingVigorously(a),  IsInSong(b),  IsInPoorlyLitRoom(c)","IsMan(d),  IsSinging(d),  IsIndoors(e)","[('IsMale(a)', '  IsSinging(d)'), ('  IsSingingVigorously(a)', '  IsSinging(d)')]",[],"[(' A male guitar player', ' A man'), (' a poorly lit room', ' indoors')]",IsMale(a) and IsGuitarPlayer(a) and IsSingingVigorously(a) and IsInSong(b) and IsInPoorlyLitRoom(c),IsMan(d) and IsSinging(d) and IsIndoors(e),(exists c (exists a (IsMale(a) and IsGuitarPlayer(a) and IsSingingVigorously(a) and IsInSong(b) and IsInPoorlyLitRoom(c))) & (forall d (forall a (IsMale(a) ->   IsSinging(d)))) & (forall d (forall a (  IsSingingVigorously(a) ->   IsSinging(d))))) -> (forall e (forall d (IsMan(d) and IsSinging(d) and IsIndoors(e)))),(exists c (exists b (exists a (IsMale(a) and IsGuitarPlayer(a) and IsSingingVigorously(a) and IsInSong(b) and IsInPoorlyLitRoom(c)))) & (forall f (forall g (IsMale(f) ->   IsSinging(g)))) & (forall h (forall i (  IsSingingVigorously(h) ->   IsSinging(i))))) -> (exists e (exists d (IsMan(d) and IsSinging(d) and IsIndoors(e))))
,1,"The sun breaks through the trees as a child rides a swing. Thus, a child rides a swing in the daytime."," ""The sun breaks through the trees as a child rides a swing.""  "," ""A child rides a swing in the daytime.""","BreaksThrough(c, d),  Rides(a, b)","Rides(a, b),  IsInDaytime(e)",[],"[(' a child', ' A child'), (' a swing', ' a swing')]",[],"BreaksThrough(c, d) and Rides(a, b)","Rides(a, b) and IsInDaytime(e)","(BreaksThrough(c, d) and Rides(a, b)) -> (Rides(a, b) and IsInDaytime(e))","(exists c (exists d (exists b (exists a (BreaksThrough(c, d) and Rides(a, b)))))) -> (exists e (exists b (exists a (Rides(a, b) and IsInDaytime(e)))))"
